TYPE|NAME|URL|MODEL_NAME|COLUMN_NAME_LIST|PROBLEM|WHY_ITS_BAD|SOLUTION|VALID_FLAG
Documentation|Undocumented Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/documentation/#undocumented-models|fct_undocumented_models|RESOURCE_NAME, MODEL_TYPE|Models lack descriptions.|Hinders understanding and discoverability of models.|Add descriptions to models using YAML or docs blocks. Prioritize marts models.|true
Documentation|Documentation Coverage|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/documentation/#documentation-coverage|fct_documentation_coverage|MEASURED_AT, TOTAL_MODELS, DOCUMENTED_MODELS, DOCUMENTATION_COVERAGE_PCT, BASE_DOCUMENTATION_COVERAGE_PCT, STAGING_DOCUMENTATION_COVERAGE_PCT, INTERMEDIATE_DOCUMENTATION_COVERAGE_PCT, MARTS_DOCUMENTATION_COVERAGE_PCT, OTHER_DOCUMENTATION_COVERAGE_PCT|Not all models have descriptions.|Makes it harder for others to understand the models.|Add descriptions to models using YAML or docs blocks.|true
Documentation|Undocumented Source Tables|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/documentation/#undocumented-source-tables|fct_undocumented_source_tables|RESOURCE_NAME|Source tables lack descriptions.|Makes it harder to understand the source data.|Add descriptions to source tables using YAML or docs blocks.|true
Documentation|Undocumented Sources|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/documentation/#undocumented-sources|fct_undocumented_sources|SOURCE_NAME|Sources lack descriptions.|Makes it harder to understand how data is loaded into the warehouse.|Add descriptions to sources using YAML or docs blocks.|true
Structure|Test Directories|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/structure/#test-directories|fct_test_directories|TEST_NAME, MODEL_NAME, CURRENT_TEST_DIRECTORY, CHANGE_TEST_DIRECTORY_TO|Model tests are not in the same directory as the model.|Disorganized tests make it harder to find and maintain them.|Move tests to a YAML file in the same directory as the model.|true
Structure|Model Naming Conventions|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/structure/#model-naming-conventions|fct_model_naming_conventions|RESOURCE_NAME, PREFIX, MODEL_TYPE, APPROPRIATE_PREFIXES|Models don't have the correct prefix (e.g., stg_, int_, fct_, dim_).|Confusing for users; model type isn't clear.|Add the appropriate prefix to model names.|true
Structure|Source Directories|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/structure/#source-directories|fct_source_directories|RESOURCE_NAME, RESOURCE_TYPE, CURRENT_FILE_PATH, CHANGE_FILE_PATH_TO|Source definitions are not in the correct subdirectory.|Makes it harder to find and manage source definitions.|Move source definitions to a YAML file in the subdirectory matching the source.|true
Structure|Model Directories|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/structure/#model-directories|fct_model_directories|RESOURCE_NAME, RESOURCE_TYPE, MODEL_TYPE, CURRENT_FILE_PATH, CHANGE_FILE_PATH_TO|Models are not in the correct subdirectory.|Poor organization makes it hard to find models.|Move staging models to a subfolder matching their source. Nest other models closest to the folder matching their type.|true
Performance|Chained View Dependencies|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/performance/#chained-view-dependencies|fct_chained_views_dependencies|PARENT, CHILD, DISTANCE, PATH|Models depend on long chains of views or ephemeral models.|Can lead to long runtimes due to nested queries.|Change the materialization of some upstream models to table or incremental. Prioritize views used by many models or those with complex calculations.|true
Performance|Exposure Parents Materializations|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/performance/#exposure-parents-materializations|fct_exposure_parents_materializations|PARENT_RESOURCE_TYPE, PARENT_RESOURCE_NAME, EXPOSURE_NAME, PARENT_MODEL_MATERIALIZATION|Exposures reference sources or models that are not materialized as tables.|Exposures should reference transformed data, and their parents should be performant for downstream use.|If referencing a source, incorporate the data into a model. Change the materialization of model parents to table or incremental.|true
Governance|Exposures Dependent on Private Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/governance/#exposures-dependent-on-private-models|fct_exposures_dependent_on_private_models|EXPOSURE_NAME, PARENT_RESOURCE_NAME, PARENT_ACCESS, PARENT_RESOURCE_TYPE|Exposures reference private models.|Exposures should reference trusted, public, and contracted data sources.|Change the access configuration of the referenced models to public. Consider adding contracts and full documentation to these models as well.|true
Governance|Undocumented Public Models|https://dbt-labs.github.io/dbt-project-evaluator/latest/rules/governance/#undocumented-public-models|fct_undocumented_public_models|RESOURCE_NAME, ACCESS, IS_DESCRIBED, TOTAL_DEFINED_COLUMNS, TOTAL_DESCRIBED_COLUMNS|Public models lack complete documentation (model and column descriptions).|Reduces usability for downstream consumers.|Add a model description and descriptions for each column in public models.|true
